CODE;NAME;DESCR
"";No Scale;No Scale
STANDARD;Standard;Standard
ABSOLUTE;Absolute Value;Absolute Value
NEG_ZERO;Negative to Zero;Negative tp Zero
SNEG_ZERO;Smallest Negative to Zero;Smallest Negative to Zero
SNEG_ZEROZ;Smallest Negative or Zero to Zero;Smallest Negative or Zero to Zero
