CODE;NAME;DESCR
VAR_POR;Variable Portions;Variable Portions
VAR_PER;Variable Percentages;Variable Percentages
VAR_FCT;Variable Factors;Variable Factors
VAR_EVEN;Variable Even;Variable Even
